what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236810798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1430236813111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236813673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236815140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1430236816812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236818922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236820698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236822932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236824126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1430236825345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236827064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236828038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430236829804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236830397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236832677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1430236840224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236842113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236868981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236874153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236875491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236878288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236879234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236881156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430236882161
