what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1430234212948
started,bundle,org.eclipse.m2m.atl.adt.ui,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt.ui",1430234212948
os,sysinfo,,,"win32",1430234212948
arch,sysinfo,,,"x86",1430234212948
ws,sysinfo,,,"win32",1430234212948
locale,sysinfo,,,"fr_BE",1430234212948
processors,sysinfo,,,"4",1430234212948
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1430234212948
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1430234212948
java.specification.name,sysinfo,,,"Java Platform API Specification",1430234212948
java.specification.vendor,sysinfo,,,"Oracle Corporation",1430234212948
java.specification.version,sysinfo,,,"1.8",1430234212948
java.vendor,sysinfo,,,"Oracle Corporation",1430234212948
java.version,sysinfo,,,"1.8.0_45",1430234212948
java.vm.info,sysinfo,,,"mixed mode",1430234212948
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1430234212948
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1430234212948
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1430234212948
java.vm.specification.version,sysinfo,,,"1.8",1430234212948
java.vm.vendor,sysinfo,,,"Oracle Corporation",1430234212948
java.vm.version,sysinfo,,,"25.45-b02",1430234212948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234214932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234281850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234282522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234283649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234289571
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1430234294822
started,bundle,org.eclipse.m2m.atl.adt,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.adt",1430234319974
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1430234320005
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1430234320021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234320021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1430234320052
started,bundle,org.eclipse.m2m.atl.engine,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.engine",1430234320193
started,bundle,org.eclipse.m2m.atl.common,3.2.1.v20110914-0724,"org.eclipse.m2m.atl.common",1430234320193
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1430234320427
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1430234320443
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1430234320474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234321646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234362246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234368590
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1430234381933
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1430234381933
started,bundle,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.editor",1430234381933
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1430234381964
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1430234382027
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1430234382043
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1430234382043
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1430234382121
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234447031
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1430234447047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234447078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1430234447094
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1430234447125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234448813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430234476817
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1430234482896
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1430234483021
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1430234483021
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1430234483052
